page,labels,version,first_line
0,other,unknown,(empty page)
1,other,unknown,ANNUAL REPORT 2025
2,other,unknown,ANNUAL REPORT 2025
3,other,unknown,ANNUAL REPORT 2025
4,other,consolidated,ANNUAL REPORT 2025
5,other,unknown,ANNUAL REPORT 2025
6,other,unknown,ANNUAL REPORT 2025
7,other,unknown,ANNUAL REPORT 2025
8,other,unknown,ANNUAL REPORT 2025
9,other,unknown,ANNUAL REPORT 2025
10,other,unknown,ANNUAL REPORT 2025
11,other,unknown,ANNUAL REPORT 2025
12,other,unknown,ANNUAL REPORT 2025
13,other,unknown,ANNUAL REPORT 2025
14,other,unknown,ANNUAL REPORT 2025
15,other,unknown,ANNUAL REPORT 2025
16,other,unknown,ANNUAL REPORT 2025
17,other,unknown,ANNUAL REPORT 2025
18,other,unknown,ANNUAL REPORT 2025
19,other,unknown,ANNUAL REPORT 2025
20,other,unknown,ANNUAL REPORT 2025
21,other,unknown,ANNUAL REPORT 2025
22,other,unknown,ANNUAL REPORT 2025
23,other,unknown,ANNUAL REPORT 2025
24,other,unknown,ANNUAL REPORT 2025
25,other,unknown,ANNUAL REPORT 2025
26,other,unknown,ANNUAL REPORT 2025
27,other,unknown,ANNUAL REPORT 2025
28,other,unknown,ANNUAL REPORT 2025
29,other,unknown,ANNUAL REPORT 2025
30,other,unknown,ANNUAL REPORT 2025
31,other,unknown,ANNUAL REPORT 2025
32,other,unknown,ANNUAL REPORT 2025
33,other,unknown,ANNUAL REPORT 2025
34,other,unknown,ANNUAL REPORT 2025
35,other,unknown,ANNUAL REPORT 2025
36,other,unknown,ANNUAL REPORT 2025
37,other,unknown,ANNUAL REPORT 2025
38,other,unknown,ANNUAL REPORT 2025
39,other,unknown,ANNUAL REPORT 2025
40,other,unknown,ANNUAL REPORT 2025
41,other,unknown,ANNUAL REPORT 2025
42,other,unknown,ANNUAL REPORT 2025
43,other,unknown,ANNUAL REPORT 2025
44,other,unknown,ANNUAL REPORT 2025
45,notes,unknown,ANNUAL REPORT 2025
46,other,unknown,ANNUAL REPORT 2025
47,other,unknown,ANNUAL REPORT 2025
48,other,unknown,ANNUAL REPORT 2025
49,other,unknown,ANNUAL REPORT 2025
50,other,unknown,ANNUAL REPORT 2025
51,notes,unknown,ANNUAL REPORT 2025
52,other,unknown,ANNUAL REPORT 2025
53,other,unknown,ANNUAL REPORT 2025
54,other,unknown,ANNUAL REPORT 2025
55,other,unknown,ANNUAL REPORT 2025
56,other,unknown,ANNUAL REPORT 2025
57,other,unknown,ANNUAL REPORT 2025
58,other,unknown,ANNUAL REPORT 2025
59,other,unknown,ANNUAL REPORT 2025
60,other,unknown,ANNUAL REPORT 2025
61,other,unknown,ANNUAL REPORT 2025
62,other,unknown,ANNUAL REPORT 2025
63,other,unknown,ANNUAL REPORT 2025
64,other,unknown,ANNUAL REPORT 2025
65,other,unknown,ANNUAL REPORT 2025
66,other,unknown,ANNUAL REPORT 2025
67,other,unknown,ANNUAL REPORT 2025
68,other,unknown,ANNUAL REPORT 2025
69,other,unknown,ANNUAL REPORT 2025
70,other,unknown,ANNUAL REPORT 2025
71,other,unknown,ANNUAL REPORT 2025
72,other,unknown,ANNUAL REPORT 2025
73,other,unknown,ANNUAL REPORT 2025
74,other,unknown,ANNUAL REPORT 2025
75,other,unknown,ANNUAL REPORT 2025
76,balance_sheet,unknown,ANNUAL REPORT 2025
77,other,unknown,ANNUAL REPORT 2025
78,other,unknown,ANNUAL REPORT 2025
79,other,unknown,ANNUAL REPORT 2025
80,other,unknown,ANNUAL REPORT 2025
81,other,unknown,ANNUAL REPORT 2025
82,other,unknown,ANNUAL REPORT 2025
83,other,unknown,ANNUAL REPORT 2025
84,other,unknown,ANNUAL REPORT 2025
85,other,unknown,ANNUAL REPORT 2025
86,other,unknown,ANNUAL REPORT 2025
87,notes,unknown,ANNUAL REPORT 2025
88,other,unknown,ANNUAL REPORT 2025
89,other,unknown,ANNUAL REPORT 2025
90,other,unknown,ANNUAL REPORT 2025
91,other,unknown,ANNUAL REPORT 2025
92,other,unknown,ANNUAL REPORT 2025
93,other,unknown,ANNUAL REPORT 2025
94,other,unknown,ANNUAL REPORT 2025
95,other,unknown,ANNUAL REPORT 2025
96,other,unknown,ANNUAL REPORT 2025
97,other,consolidated,CRESCENT COTTON MILLS LIMITED
98,other,consolidated,ANNUAL REPORT 2025
99,other,unknown,ANNUAL REPORT 2025
100,other,unknown,ANNUAL REPORT 2025
101,other,unknown,ANNUAL REPORT 2025
102,other,unknown,ANNUAL REPORT 2025
103,other,consolidated,ANNUAL REPORT 2025
104,other,unknown,ANNUAL REPORT 2025
105,other,consolidated,ANNUAL REPORT 2025
106,other,consolidated,ANNUAL REPORT 2025
107,other,unknown,ANNUAL REPORT 2025
108,other,consolidated,ANNUAL REPORT 2025
109,other,consolidated,ANNUAL REPORT 2025
110,other,consolidated,ANNUAL REPORT 2025
111,other,unknown,ANNUAL REPORT 2025
112,other,unknown,ANNUAL REPORT 2025
113,other,unknown,ANNUAL REPORT 2025
114,other,unknown,ANNUAL REPORT 2025
115,other,consolidated,ANNUAL REPORT 2025
116,other,consolidated,ANNUAL REPORT 2025
117,other,unknown,ANNUAL REPORT 2025
118,other,unknown,ANNUAL REPORT 2025
119,other,unknown,ANNUAL REPORT 2025
120,other,unknown,ANNUAL REPORT 2025
