filename,page,type,version
Abbott Labs Pakistan.pdf,93,cash_flow,unknown
Abbott Labs Pakistan.pdf,100,notes,unknown
Abbott Labs Pakistan.pdf,105,balance_sheet,unknown
Abbott Labs Pakistan.pdf,106,balance_sheet,unknown
Abbott Labs Pakistan.pdf,107,profit_and_loss,unknown
Abbott Labs Pakistan.pdf,108,profit_and_loss,unknown
Abbott Labs Pakistan.pdf,109,cash_flow,unknown
Abbott Labs Pakistan.pdf,110,changes_in_equity,unknown
Abbott Labs Pakistan.pdf,111,notes,unknown
Abbott Labs Pakistan.pdf,113,notes,unknown
Abbott Labs Pakistan.pdf,115,notes,unknown
Abbott Labs Pakistan.pdf,117,notes,unknown
Abbott Labs Pakistan.pdf,119,notes,unknown
Abbott Labs Pakistan.pdf,120,notes,unknown
Abbott Labs Pakistan.pdf,121,notes,unknown
Abbott Labs Pakistan.pdf,122,notes,unknown
Abbott Labs Pakistan.pdf,123,notes,unknown
Abbott Labs Pakistan.pdf,125,notes,unknown
Abbott Labs Pakistan.pdf,127,notes,unknown
Abbott Labs Pakistan.pdf,129,notes,unknown
Abbott Labs Pakistan.pdf,131,notes,unknown
Abbott Labs Pakistan.pdf,133,notes,unknown
Abbott Labs Pakistan.pdf,135,notes,unknown
Abbott Labs Pakistan.pdf,137,notes,unknown
Abbott Labs Pakistan.pdf,139,notes,unknown
Abbott Labs Pakistan.pdf,140,notes,unknown
Abbott Labs Pakistan.pdf,141,notes,unknown
Abbott Labs Pakistan.pdf,143,notes,unknown
Abbott Labs Pakistan.pdf,145,notes,unknown
Abbott Labs Pakistan.pdf,147,notes,unknown
Abbott Labs Pakistan.pdf,149,notes,unknown
Abbott Labs Pakistan.pdf,151,notes,unknown
Abbott Labs Pakistan.pdf,153,notes,unknown
Abbott Labs Pakistan.pdf,155,notes,unknown
Abbott Labs Pakistan.pdf,157,notes,unknown
Attock Cement.pdf,73,notes,unknown
Attock Cement.pdf,77,balance_sheet,unknown
Attock Cement.pdf,78,profit_and_loss,unknown
Attock Cement.pdf,79,changes_in_equity,unknown
Attock Cement.pdf,80,cash_flow,unknown
Attock Cement.pdf,81,notes,unknown
Attock Cement.pdf,83,notes,unknown
Attock Cement.pdf,85,notes,unknown
Attock Cement.pdf,87,notes,unknown
Attock Cement.pdf,89,notes,unknown
Attock Cement.pdf,91,notes,unknown
Attock Cement.pdf,93,notes,unknown
Attock Cement.pdf,95,notes,unknown
Attock Cement.pdf,97,notes,unknown
Attock Cement.pdf,99,notes,unknown
Attock Cement.pdf,101,notes,unknown
Attock Cement.pdf,103,notes,unknown
Attock Cement.pdf,104,notes,unknown
