filename,type,start_page,end_page,version,multi_type,full_path
Abbott Labs Pakistan.pdf,balance_sheet,105,106,unknown,False,
Abbott Labs Pakistan.pdf,profit_and_loss,107,108,unknown,False,
Abbott Labs Pakistan.pdf,cash_flow,93,93,unknown,False,
Abbott Labs Pakistan.pdf,cash_flow,109,109,unknown,False,
Abbott Labs Pakistan.pdf,changes_in_equity,110,110,unknown,False,
Abbott Labs Pakistan.pdf,notes,100,100,unknown,False,
Abbott Labs Pakistan.pdf,notes,111,157,unknown,False,
Attock Cement.pdf,balance_sheet,77,77,unknown,False,
Attock Cement.pdf,profit_and_loss,78,78,unknown,False,
Attock Cement.pdf,cash_flow,80,80,unknown,False,
Attock Cement.pdf,changes_in_equity,79,79,unknown,False,
Attock Cement.pdf,notes,73,73,unknown,False,
Attock Cement.pdf,notes,81,127,unknown,False,
Engro Annual 2025.pdf,balance_sheet,159,159,consolidated,False,
Engro Annual 2025.pdf,balance_sheet,195,195,unknown,False,
Engro Annual 2025.pdf,profit_and_loss,160,160,consolidated,False,
Engro Annual 2025.pdf,profit_and_loss,196,196,unknown,False,
Engro Annual 2025.pdf,cash_flow,161,161,consolidated,True,
Engro Annual 2025.pdf,cash_flow,197,197,unknown,True,
Engro Annual 2025.pdf,changes_in_equity,161,161,consolidated,True,
Engro Annual 2025.pdf,changes_in_equity,197,197,unknown,True,
Engro Annual 2025.pdf,notes,162,162,consolidated,False,
Engro Annual 2025.pdf,notes,181,181,unknown,False,
Engro Annual 2025.pdf,notes,185,185,unknown,False,
Engro Annual 2025.pdf,notes,198,198,unknown,False,
Engro Annual 2025.pdf,notes,211,211,unknown,False,
Engro Annual 2025.pdf,notes,217,218,unknown,False,
Engro Annual 2025.pdf,notes,221,221,unknown,False,
Fauji Fertilizers.pdf,balance_sheet,307,308,unknown,False,
Fauji Fertilizers.pdf,balance_sheet,427,428,consolidated,False,
Fauji Fertilizers.pdf,profit_and_loss,309,310,unknown,False,
Fauji Fertilizers.pdf,profit_and_loss,429,430,consolidated,False,
Fauji Fertilizers.pdf,cash_flow,311,311,unknown,False,
Fauji Fertilizers.pdf,cash_flow,431,431,consolidated,False,
Fauji Fertilizers.pdf,changes_in_equity,312,312,unknown,False,
Fauji Fertilizers.pdf,changes_in_equity,432,432,consolidated,False,
Fauji Fertilizers.pdf,notes,61,62,unknown,False,
Fauji Fertilizers.pdf,notes,313,371,unknown,False,
Fauji Fertilizers.pdf,notes,375,383,unknown,False,
Fauji Fertilizers.pdf,notes,433,471,consolidated,False,
Fauji Fertilizers.pdf,notes,475,475,consolidated,False,
Fauji Fertilizers.pdf,notes,479,493,consolidated,False,
Fauji Fertilizers.pdf,notes,497,523,consolidated,False,
Gul Ahmed Annual 2025.pdf,balance_sheet,55,55,unconsolidated,True,
Gul Ahmed Annual 2025.pdf,balance_sheet,90,90,consolidated,True,
Gul Ahmed Annual 2025.pdf,profit_and_loss,55,55,unconsolidated,True,
Gul Ahmed Annual 2025.pdf,profit_and_loss,90,90,consolidated,True,
Gul Ahmed Annual 2025.pdf,cash_flow,57,57,unconsolidated,False,
Gul Ahmed Annual 2025.pdf,cash_flow,92,92,consolidated,False,
Gul Ahmed Annual 2025.pdf,changes_in_equity,56,56,unconsolidated,False,
Gul Ahmed Annual 2025.pdf,changes_in_equity,91,91,consolidated,False,
Gul Ahmed Annual 2025.pdf,notes,48,48,unknown,False,
Gul Ahmed Annual 2025.pdf,notes,53,53,unconsolidated,False,
Gul Ahmed Annual 2025.pdf,notes,58,58,unconsolidated,False,
Gul Ahmed Annual 2025.pdf,notes,93,93,consolidated,False,
Gul Ahmed Annual 2025.pdf,notes,97,97,consolidated,False,
Gul Ahmed Annual 2025.pdf,notes,100,100,consolidated,False,
Gul Ahmed Annual 2025.pdf,notes,116,116,unknown,False,
Indus Motor.pdf,balance_sheet,91,91,unknown,True,
Indus Motor.pdf,balance_sheet,273,273,unknown,False,
Indus Motor.pdf,profit_and_loss,91,91,unknown,True,
Indus Motor.pdf,profit_and_loss,274,275,unknown,False,
Indus Motor.pdf,cash_flow,276,276,unknown,False,
Indus Motor.pdf,changes_in_equity,277,277,unknown,False,
Indus Motor.pdf,notes,268,268,unknown,False,
Indus Motor.pdf,notes,278,320,unknown,False,
JS BankLtd.pdf,balance_sheet,60,60,unconsolidated,False,
JS BankLtd.pdf,balance_sheet,184,184,consolidated,False,
JS BankLtd.pdf,profit_and_loss,61,62,unconsolidated,False,
JS BankLtd.pdf,profit_and_loss,185,186,consolidated,False,
JS BankLtd.pdf,cash_flow,64,64,unconsolidated,False,
JS BankLtd.pdf,cash_flow,188,188,consolidated,False,
JS BankLtd.pdf,changes_in_equity,63,63,unconsolidated,False,
JS BankLtd.pdf,changes_in_equity,187,187,consolidated,False,
JS BankLtd.pdf,notes,5,5,unconsolidated,False,
JS BankLtd.pdf,notes,18,18,unknown,False,
JS BankLtd.pdf,notes,65,110,unconsolidated,False,
JS BankLtd.pdf,notes,113,145,unconsolidated,False,
JS BankLtd.pdf,notes,148,152,unconsolidated,False,
JS BankLtd.pdf,notes,155,159,unconsolidated,False,
JS BankLtd.pdf,notes,162,163,unconsolidated,False,
JS BankLtd.pdf,notes,166,168,unconsolidated,False,
JS BankLtd.pdf,notes,189,309,consolidated,False,
JS BankLtd.pdf,notes,312,313,consolidated,False,
JS BankLtd.pdf,notes,318,318,consolidated,False,
K-electric LImited.pdf,balance_sheet,105,105,unconsolidated,False,
K-electric LImited.pdf,balance_sheet,181,181,consolidated,False,
K-electric LImited.pdf,profit_and_loss,106,107,unconsolidated,False,
K-electric LImited.pdf,profit_and_loss,182,183,consolidated,False,
K-electric LImited.pdf,cash_flow,96,96,unknown,False,
K-electric LImited.pdf,cash_flow,109,109,unconsolidated,False,
K-electric LImited.pdf,cash_flow,185,185,consolidated,False,
K-electric LImited.pdf,changes_in_equity,108,108,unconsolidated,False,
K-electric LImited.pdf,changes_in_equity,184,184,consolidated,False,
K-electric LImited.pdf,notes,110,110,unconsolidated,False,
K-electric LImited.pdf,notes,122,122,unknown,False,
K-electric LImited.pdf,notes,140,140,unknown,False,
K-electric LImited.pdf,notes,186,186,consolidated,False,
K-electric LImited.pdf,notes,199,199,unknown,False,
Lucky Cement Limited.pdf,balance_sheet,239,239,unconsolidated,False,
Lucky Cement Limited.pdf,balance_sheet,290,290,consolidated,False,
Lucky Cement Limited.pdf,profit_and_loss,240,241,unconsolidated,False,
Lucky Cement Limited.pdf,profit_and_loss,291,292,consolidated,False,
Lucky Cement Limited.pdf,cash_flow,242,242,unconsolidated,False,
Lucky Cement Limited.pdf,cash_flow,293,293,consolidated,False,
Lucky Cement Limited.pdf,changes_in_equity,243,243,unconsolidated,False,
Lucky Cement Limited.pdf,changes_in_equity,294,294,consolidated,False,
Lucky Cement Limited.pdf,notes,169,169,unknown,False,
Lucky Cement Limited.pdf,notes,235,235,unconsolidated,False,
Lucky Cement Limited.pdf,notes,244,249,unconsolidated,False,
Lucky Cement Limited.pdf,notes,253,265,unconsolidated,False,
Lucky Cement Limited.pdf,notes,269,281,unconsolidated,False,
Lucky Cement Limited.pdf,notes,285,285,consolidated,False,
