filename,type,pages,rotation,total_rows,good_rows,status
Abbott Labs Pakistan.pdf,balance_sheet,105-106,0,50,50,OK
Abbott Labs Pakistan.pdf,profit_and_loss,107-108,0,44,44,OK
Abbott Labs Pakistan.pdf,cash_flow,93-93,0,30,30,OK
Abbott Labs Pakistan.pdf,cash_flow,109-109,0,31,31,OK
Abbott Labs Pakistan.pdf,changes_in_equity,110-110,0,26,26,OK
Attock Cement.pdf,balance_sheet,77-77,0,49,49,OK
Attock Cement.pdf,profit_and_loss,78-78,0,28,28,OK
Attock Cement.pdf,cash_flow,80-80,0,35,35,OK
Attock Cement.pdf,changes_in_equity,79-79,0,25,25,OK
Engro Annual 2025.pdf,balance_sheet,159-159,0,60,60,OK
Engro Annual 2025.pdf,balance_sheet,195-195,0,62,62,OK
Engro Annual 2025.pdf,profit_and_loss,160-160,0,37,37,OK
Engro Annual 2025.pdf,profit_and_loss,196-196,0,34,34,OK
Engro Annual 2025.pdf,cash_flow,161-161,0,72,72,OK
Engro Annual 2025.pdf,cash_flow,197-197,0,73,73,OK
Engro Annual 2025.pdf,changes_in_equity,161-161,0,72,72,OK
Engro Annual 2025.pdf,changes_in_equity,197-197,0,73,73,OK
Fauji Fertilizers.pdf,balance_sheet,307-308,0,60,60,OK
Fauji Fertilizers.pdf,balance_sheet,427-428,0,69,69,OK
Fauji Fertilizers.pdf,profit_and_loss,309-310,0,52,52,OK
Fauji Fertilizers.pdf,profit_and_loss,429-430,0,68,68,OK
Fauji Fertilizers.pdf,cash_flow,311-311,0,37,37,OK
Fauji Fertilizers.pdf,cash_flow,431-431,0,36,36,OK
Fauji Fertilizers.pdf,changes_in_equity,312-312,0,41,41,OK
Fauji Fertilizers.pdf,changes_in_equity,432-432,0,99,99,OK
Gul Ahmed Annual 2025.pdf,balance_sheet,55-55,0,70,70,OK
Gul Ahmed Annual 2025.pdf,balance_sheet,90-90,0,74,74,OK
Gul Ahmed Annual 2025.pdf,profit_and_loss,55-55,0,70,70,OK
Gul Ahmed Annual 2025.pdf,profit_and_loss,90-90,0,74,74,OK
Gul Ahmed Annual 2025.pdf,cash_flow,57-57,0,58,58,OK
Gul Ahmed Annual 2025.pdf,cash_flow,92-92,0,62,62,OK
Gul Ahmed Annual 2025.pdf,changes_in_equity,56-56,0,34,34,OK
